message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,122783])";"30";"turtlesim2.sim";"1727001754.367568294";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,122783])";"30";"turtlesim1.sim";"1727001754.362184061";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,103002])";"30";"turtlesim3.sim";"1727001754.360234161";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,103002])";"30";"turtlesim2.sim";"1727001754.350867166";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,103002])";"30";"turtlesim1.sim";"1727001754.345473331";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,083220])";"30";"turtlesim3.sim";"1727001754.344453690";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,083220])";"30";"turtlesim2.sim";"1727001754.335279052";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,083220])";"30";"turtlesim1.sim";"1727001754.329636722";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,063439])";"30";"turtlesim3.sim";"1727001754.327857916";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,063439])";"30";"turtlesim2.sim";"1727001754.319579007";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,063439])";"30";"turtlesim1.sim";"1727001754.314028776";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,043658])";"30";"turtlesim3.sim";"1727001754.312131252";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,043658])";"30";"turtlesim2.sim";"1727001754.302764185";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,043658])";"30";"turtlesim1.sim";"1727001754.298278870";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,023876])";"30";"turtlesim3.sim";"1727001754.296487924";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,023876])";"30";"turtlesim2.sim";"1727001754.286983894";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,023876])";"30";"turtlesim1.sim";"1727001754.281422042";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,004095])";"30";"turtlesim3.sim";"1727001754.280807692";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,004095])";"30";"turtlesim2.sim";"1727001754.271225670";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=4,004095])";"30";"turtlesim1.sim";"1727001754.265777924";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,984314])";"30";"turtlesim3.sim";"1727001754.264122336";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,984314])";"30";"turtlesim2.sim";"1727001754.255574201";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,984314])";"30";"turtlesim1.sim";"1727001754.250208327";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,964533])";"30";"turtlesim3.sim";"1727001754.248533723";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,964533])";"30";"turtlesim2.sim";"1727001754.238998732";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,964533])";"30";"turtlesim1.sim";"1727001754.233662852";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,944751])";"30";"turtlesim3.sim";"1727001754.232732431";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,944751])";"30";"turtlesim2.sim";"1727001754.223203165";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,944751])";"30";"turtlesim1.sim";"1727001754.217975803";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,924970])";"30";"turtlesim3.sim";"1727001754.216156712";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,924970])";"30";"turtlesim2.sim";"1727001754.207450945";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,924970])";"30";"turtlesim1.sim";"1727001754.202371140";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,905189])";"30";"turtlesim3.sim";"1727001754.200434480";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,905189])";"30";"turtlesim2.sim";"1727001754.190818951";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,905189])";"30";"turtlesim1.sim";"1727001754.185748207";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,885407])";"30";"turtlesim3.sim";"1727001754.183823960";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,885407])";"30";"turtlesim2.sim";"1727001754.175179758";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,885407])";"30";"turtlesim1.sim";"1727001754.170023375";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,865626])";"30";"turtlesim3.sim";"1727001754.168116520";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,865626])";"30";"turtlesim2.sim";"1727001754.159613363";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,865626])";"30";"turtlesim1.sim";"1727001754.154371400";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,845845])";"30";"turtlesim3.sim";"1727001754.152479385";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,845845])";"30";"turtlesim2.sim";"1727001754.142898861";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,845845])";"30";"turtlesim1.sim";"1727001754.137737588";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,826063])";"30";"turtlesim3.sim";"1727001754.135909098";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,826063])";"30";"turtlesim2.sim";"1727001754.127222423";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,826063])";"30";"turtlesim1.sim";"1727001754.122097631";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,806282])";"30";"turtlesim3.sim";"1727001754.120260636";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,806282])";"30";"turtlesim2.sim";"1727001754.111660108";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,806282])";"30";"turtlesim1.sim";"1727001754.106237653";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,786501])";"30";"turtlesim3.sim";"1727001754.104644960";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,786501])";"30";"turtlesim2.sim";"1727001754.094794854";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,786501])";"30";"turtlesim1.sim";"1727001754.089591848";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,766719])";"30";"turtlesim3.sim";"1727001754.087923882";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,766719])";"30";"turtlesim2.sim";"1727001754.079144652";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,766719])";"30";"turtlesim1.sim";"1727001754.074005105";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,746938])";"30";"turtlesim3.sim";"1727001754.072162390";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,746938])";"30";"turtlesim2.sim";"1727001754.063654912";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,746938])";"30";"turtlesim1.sim";"1727001754.058302828";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,727157])";"30";"turtlesim3.sim";"1727001754.056408681";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,727157])";"30";"turtlesim2.sim";"1727001754.047052925";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,727157])";"30";"turtlesim1.sim";"1727001754.041610737";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,707375])";"30";"turtlesim3.sim";"1727001754.040621532";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,707375])";"30";"turtlesim2.sim";"1727001754.031268742";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,707375])";"30";"turtlesim1.sim";"1727001754.025954328";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,687594])";"30";"turtlesim3.sim";"1727001754.023929065";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,687594])";"30";"turtlesim2.sim";"1727001754.015682348";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,687594])";"30";"turtlesim1.sim";"1727001754.010284591";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,667813])";"30";"turtlesim3.sim";"1727001754.008325195";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,667813])";"30";"turtlesim2.sim";"1727001753.998983093";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,667813])";"30";"turtlesim1.sim";"1727001753.993635051";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,648032])";"30";"turtlesim3.sim";"1727001753.991777505";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,648032])";"30";"turtlesim2.sim";"1727001753.983227807";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,648032])";"30";"turtlesim1.sim";"1727001753.977990596";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,628250])";"30";"turtlesim3.sim";"1727001753.976181565";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,628250])";"30";"turtlesim2.sim";"1727001753.967451142";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,628250])";"30";"turtlesim1.sim";"1727001753.962230437";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,608469])";"30";"turtlesim3.sim";"1727001753.960657883";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,608469])";"30";"turtlesim2.sim";"1727001753.951670589";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,608469])";"30";"turtlesim1.sim";"1727001753.946491137";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,588688])";"30";"turtlesim3.sim";"1727001753.944103161";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,588688])";"30";"turtlesim2.sim";"1727001753.934858224";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,588688])";"30";"turtlesim1.sim";"1727001753.929806811";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,568906])";"30";"turtlesim3.sim";"1727001753.928560782";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,568906])";"30";"turtlesim2.sim";"1727001753.919113606";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,568906])";"30";"turtlesim1.sim";"1727001753.913981858";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,549125])";"30";"turtlesim3.sim";"1727001753.912020663";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,549125])";"30";"turtlesim2.sim";"1727001753.903467407";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,549125])";"30";"turtlesim1.sim";"1727001753.898300131";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,529344])";"30";"turtlesim3.sim";"1727001753.896456222";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,529344])";"30";"turtlesim2.sim";"1727001753.886894302";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,529344])";"30";"turtlesim1.sim";"1727001753.881620672";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,509562])";"30";"turtlesim3.sim";"1727001753.879923022";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,509562])";"30";"turtlesim2.sim";"1727001753.871258535";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,509562])";"30";"turtlesim1.sim";"1727001753.865858496";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,489781])";"30";"turtlesim3.sim";"1727001753.864325566";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,489781])";"30";"turtlesim2.sim";"1727001753.855717960";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,489781])";"30";"turtlesim1.sim";"1727001753.850290387";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,470000])";"30";"turtlesim3.sim";"1727001753.848712694";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,470000])";"30";"turtlesim2.sim";"1727001753.839118165";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,470000])";"30";"turtlesim1.sim";"1727001753.833740806";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,450218])";"30";"turtlesim3.sim";"1727001753.832129479";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,450218])";"30";"turtlesim2.sim";"1727001753.823574129";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,450218])";"30";"turtlesim1.sim";"1727001753.818209003";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,430437])";"30";"turtlesim3.sim";"1727001753.816395490";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,430437])";"30";"turtlesim2.sim";"1727001753.807003967";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,430437])";"30";"turtlesim1.sim";"1727001753.801653630";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,410656])";"30";"turtlesim3.sim";"1727001753.800601191";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,410656])";"30";"turtlesim2.sim";"1727001753.791408161";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,410656])";"30";"turtlesim1.sim";"1727001753.786067957";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,390874])";"30";"turtlesim3.sim";"1727001753.783830771";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,390874])";"30";"turtlesim2.sim";"1727001753.774793117";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,390874])";"30";"turtlesim1.sim";"1727001753.770410207";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,371093])";"30";"turtlesim3.sim";"1727001753.768084189";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,371093])";"30";"turtlesim2.sim";"1727001753.759154503";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,371093])";"30";"turtlesim1.sim";"1727001753.753739794";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,351312])";"30";"turtlesim3.sim";"1727001753.752456688";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,351312])";"30";"turtlesim2.sim";"1727001753.743415283";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,351312])";"30";"turtlesim1.sim";"1727001753.738066606";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,331531])";"30";"turtlesim3.sim";"1727001753.735840834";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,025154, y=3,331531])";"30";"turtlesim2.sim";"1727001753.727673870";"/home/shaman/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
